昵称,评论内容,评论时间
豆瓣路人己,陈思诚很像班上的中等生，很努力，上了很多培训班，也做了很多习题册，有很多想法见底。但真的到了考场，就是会露怯，有灵光的地方，也有糟糕的地方。这种人反而经常被人请教，他教人的时候又总会比自己发挥好。,2025-01-29 12:53:19
Wingzyuuu,感觉爱丽丝和白振帮的相遇 下一秒就弹出来水中贵族百岁山了,2025-01-29 12:40:06
ast,也是让陈思诚吃上爱国饭了，就剩一点推理梗还是抄的,2025-01-29 11:39:05
PbriQwQ,什么时候能不在喜剧里掺宏大叙事,2025-01-29 13:00:37
SiriKnowsAll,张新成和周润发和其他人不在一个图层。,2025-01-29 12:13:39
西尔莎小王,一种另类的主旋律片诞生了,2025-01-29 22:58:31
阿殍,陈思成可真是一个聪明的吴京啊,2025-01-30 12:13:35
西楼尘,钻进了戏法箱，尚不知大变活人是破案的关键。站上了远洋号，尚不知一船火枪会让国家改变。架好了摄影机，尚不知一卷胶片将会重写历史。要开膛取走的是不被允许的结晶，要用铁轨掩埋的是枕木下的冤魂。站上号称自由的国度，你的肤色就是你的不自由。虽然从未踏上故土，但却选择相信彼岸才有解惑的答案。,2025-01-29 13:57:22
油麦菜冲冲冲,历史发掘和主题呈现很好，但不得不说，导演真是令人恶心的投机主义集大成者,2025-01-29 19:58:18
时脆吱,带着陈一如既往的鸡贼，探案弱智不说，还缝合了民族主义再教育，如坐针毡。大过年的，不想听上课。,2025-01-29 11:37:27
和寂寞一起悬空,格兰特自杀时，后面的哥们还健在？😂,2025-01-29 11:47:09
SingLesinger,你可以和国外网友疯狂对线Lunar还是Chinese New Year，但却对春节商业片上升家国情怀，讨论一段不太被看见的历史嗤之以鼻；你可以在抖音评论刷请大英博物馆无偿归还我们的文物，却揶揄把他融进中国电影是吃爱国饭，煽动民族情绪；你可以庆祝和包容顺应时代风向的作品“不那么电影”，却要求一个喜剧悬疑动作类型杂糅的春节最大公约数商品做到推理完美，笑点高级，十全十美。辱骂csc在我豆是一件如此时尚的事。如果初一积极买票然后美美打上一星附言“一坨”“真屎”可以让你获得片刻快乐和满足，那电影也还是有它的价值。,2025-01-29 15:30:08
发疯,5分！为什么唐探1可以及格，这部却不可以？因为唐探1就是简单的喜剧效果，及格线的推理过程，两者结合就是还可以啊。而本片呢，喜剧，推理，宏大叙事都想要，但都没讲好。不是不可以讲家国情怀，而是要有方法的讲。死了那么多远赴欧美的华人是真的，但法庭演讲几句话就能让美国人共情，甚至改变一个法案？这是儿戏吧。国人不仅仅要正视历史，更要正视歧视，现如今都存在的问题，不是在电影里自嗨就能产生慰籍的。叙事乱七八糟没有章法，喜剧效果反正大多数梗也没逗笑我，基于比蓝巨人稍强，分数只能到这儿。,2025-01-29 19:27:49
